Browser,City,Convname,Convtype,Count,Countrycode,Device,Linkid,Os,Timestamp,Type,Visitortoken
Safari,Unknown,Individual plan,membership,1,JP,mobile,fa5ade31-72db-4829-bfef-40d58e138e5a,iOS,2019-09-01T00:43:00Z,conversion,bf04c76da774144df517xxxxxxxxxxxx
Safari,North Las Vegas,Individual plan,trial,1,US,mobile,964d9cea-c263-413d-a067-e8fa508876a9,iOS,2019-09-01T00:43:00Z,conversion,c2ebb70f02612ab59d4cxxxxxxxxxxxx
Safari,Unknown,Individual plan,trial,1,JP,mobile,63929569-e486-4ea4-8f79-888b456549e3,iOS,2019-09-01T02:03:00Z,conversion,4d59343996a257721669xxxxxxxxxxxx
Instagram App,Mexicali,Individual plan,trial,1,MX,mobile,d287aa62-7e90-45b1-983f-34cac22d2acb,iOS,2019-09-01T02:22:00Z,conversion,c54eb3f1195b515f9be0xxxxxxxxxxxx
Safari,Miami,Individual plan,trial,1,US,mobile,2f1effd3-d606-4c6b-a2bb-ad239586b642,iOS,2019-09-01T05:17:00Z,conversion,5c94f1234dc4df770457xxxxxxxxxxxx
Line App,Kasugai,Student plan,membership,1,JP,mobile,9314614b-e227-49bd-9032-f835a2784025,iOS,2019-09-01T05:26:00Z,conversion,451b3e51667ef6f5724fxxxxxxxxxxxx
Facebook App,Unknown,Individual plan,membership,1,GB,mobile,1d8b257c-c80e-4a12-bb3b-bf60fe31bd98,iOS,2019-09-01T05:37:00Z,conversion,2b38ab8ffb6ba681b9bbxxxxxxxxxxxx
Facebook App,Brisbane,Individual plan,membership,1,AU,mobile,f34803dc-317d-489f-adac-68ecf9d15221,iOS,2019-09-01T05:44:00Z,conversion,f69ec9adbfe544f469c5xxxxxxxxxxxx
Chrome,Unknown,Individual plan,trial,1,JP,mobile,44039a2c-8419-4853-aa89-1d75e08461e0,iOS,2019-09-01T06:03:00Z,conversion,4a2258a59ad6cc55a5edxxxxxxxxxxxx
Instagram App,Bois-Colombes,Individual plan,membership,1,FR,mobile,1ff4a0af-4e0d-4dba-9121-a989e833cf54,iOS,2019-09-01T06:08:00Z,conversion,f782b80fbc79198f26aaxxxxxxxxxxxx
Safari,Niigata,Individual plan,trial,1,JP,mobile,63929569-e486-4ea4-8f79-888b456549e3,iOS,2019-09-01T06:54:00Z,conversion,309000c332ebab9431e9xxxxxxxxxxxx
Instagram App,Unknown,Individual plan,trial,1,JP,mobile,d1a0ab14-b742-4d3f-9f74-07225c685500,iOS,2019-09-01T07:23:00Z,conversion,32d18bed379fdaf13df7xxxxxxxxxxxx
Line App,Tokyo,Student plan,membership,1,JP,mobile,11f4af12-dfdb-4b27-909b-cb1aa2fe41e5,iOS,2019-09-01T07:26:00Z,conversion,6090d1422411d437a2b4xxxxxxxxxxxx
Safari,Unknown,Individual plan,membership,1,JP,mobile,18e6d335-96d9-4f3c-afaa-2e81b722b827,iOS,2019-09-01T08:47:00Z,conversion,e94c574cfc9c25f835fbxxxxxxxxxxxx
Instagram App,College Station,Individual plan,membership,1,US,mobile,89a57b28-6ac6-464f-bb23-ed1c9618e164,iOS,2019-09-01T09:46:00Z,conversion,cb88b72e0600c26fcb3bxxxxxxxxxxxx
